"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
"('106.206.65.3', '10.0.0.7')","{""response_code"":""0""}"
